"r_function","r_file","original_pascal_file","pascal_routine","harness_file","harness_routine","algorithms_section","unit_tests","oracle_targets"
"ari_empty_table","gRm/R/ari_values.R","source/PAS_skunits/skbias15.pas","Calculate_Ari","","","ARI Item Score Curves","gRm/tests/testthat/test-ari.R","validation/BIRT/BIRT_movtiva/output/rasch/Ari_dot.csv"
"ari_expected_moments","gRm/R/ari_values.R","source/PAS_skunits/skbias15.pas","Calculate_Ari","","","ARI Item Score Curves","gRm/tests/testthat/test-ari.R","validation/BIRT/BIRT_movtiva/output/rasch/Ari_dot.csv"
"ari_global_item_max","gRm/R/ari_values.R","source/PAS_skunits/skbias15.pas","Calculate_Ari","","","ARI Item Score Curves","gRm/tests/testthat/test-ari.R","validation/BIRT/BIRT_movtiva/output/rasch/Ari_dot.csv"
"ari_observed_tables","gRm/R/ari_values.R","source/PAS_skunits/skbias15.pas","Calculate_Ari","","","ARI Item Score Curves","gRm/tests/testthat/test-ari.R","validation/BIRT/BIRT_movtiva/output/rasch/Ari_dot.csv"
"ari_row_table","gRm/R/ari_values.R","source/PAS_skunits/skbias15.pas","Calculate_Ari","","","ARI Item Score Curves","gRm/tests/testthat/test-ari.R","validation/BIRT/BIRT_movtiva/output/rasch/Ari_dot.csv"
"ari_table_columns","gRm/R/ari_values.R","source/PAS_skunits/skbias15.pas","Calculate_Ari","","","ARI Item Score Curves","gRm/tests/testthat/test-ari.R","validation/BIRT/BIRT_movtiva/output/rasch/Ari_dot.csv"
"ari_values","gRm/R/ari_values.R","source/PAS_skunits/skbias15.pas","Calculate_Ari","","","ARI Item Score Curves","gRm/tests/testthat/test-ari.R","validation/BIRT/BIRT_movtiva/output/rasch/Ari_dot.csv"
"gRm_gllrm_convergence_state","gRm/R/convergence_state.R","source/PAS_skunits/skbias12b.pas","Estimate_GLLRM","pascal_harness/GLLRM_STOP_STATE.pas","RunTrajectory","GLLRM Estimation","gRm/tests/testthat/test-convergence-contract.R","pascal_harness/GLLRM_STOP_STATE.pas"
"gRm_rasch_convergence_state","gRm/R/convergence_state.R","source/PAS_skunits/skbias12b.pas","Estimate_GLLRM","pascal_harness/GLLRM_STOP_STATE.pas","RunTrajectory","GLLRM Estimation","gRm/tests/testthat/test-convergence-contract.R","pascal_harness/GLLRM_STOP_STATE.pas"
"new_gRm_convergence_state","gRm/R/convergence_state.R","source/PAS_skunits/skbias12b.pas","Estimate_GLLRM","pascal_harness/GLLRM_STOP_STATE.pas","RunTrajectory","GLLRM Estimation","gRm/tests/testthat/test-convergence-contract.R","pascal_harness/GLLRM_STOP_STATE.pas"
"base_rasch_loglike","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"build_dif_gamma_context","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"convolve_score_vectors","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"dif_tests_partial_gamma","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"dif_tests_partial_gamma_stats","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"dif_tests_source_gamma_counts","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"dif_tests_values","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"gllrm_context_dif_index","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"gllrm_dif_key","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"gllrm_dif_lookup","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"gllrm_dif_pair_test","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"gllrm_dif_tests","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"gllrm_dif_tests_values","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
"gllrm_no_dif_candidates","gRm/R/dif_tests_values.R","source/PAS_scd/DGRirtD.pas","MissingDIF","","","DIF Tests Report","gRm/tests/testthat/test-gllrm-candidate-fit.R","validation/BIRT/BIRT_movtiva/output/rasch/check-DIF-extended.txt"
