"r_function","r_file","line","exported","s3_method","numerical","roxygen_attached","keywords_internal","formals","source_trace_manifest"
"gRm_stable_fingerprint","R/analysis_identity.R",11,FALSE,FALSE,FALSE,TRUE,TRUE,"x;kind",FALSE
"gRm_analysis_category_identity","R/analysis_identity.R",23,FALSE,FALSE,FALSE,TRUE,TRUE,"project",FALSE
"gRm_analysis_identity","R/analysis_identity.R",59,FALSE,FALSE,FALSE,TRUE,TRUE,"project;data;id;score_groups;bundle",FALSE
"gRm_likelihood_sample_identity","R/analysis_identity.R",110,FALSE,FALSE,FALSE,TRUE,TRUE,"analysis_fingerprint;bundle",FALSE
"gRm_analysis_identity_fields","R/analysis_identity.R",136,FALSE,FALSE,FALSE,TRUE,TRUE,"project;data;id;score_groups;bundle",FALSE
"assert_gRm_analysis_identity","R/analysis_identity.R",163,FALSE,FALSE,FALSE,TRUE,TRUE,"analysis;bundle",FALSE
"ari","R/api-ari.R",39,TRUE,FALSE,FALSE,TRUE,FALSE,"fit;...",FALSE
"new_gRm_ari","R/api-ari.R",64,FALSE,FALSE,FALSE,TRUE,TRUE,"x;metadata",FALSE
"print.gRm_ari","R/api-ari.R",72,FALSE,TRUE,FALSE,TRUE,FALSE,"x;...",FALSE
"cm2","R/api-cm2-cm3.R",294,TRUE,FALSE,FALSE,TRUE,FALSE,"fit;items;score_cuts;bootstrap;nsim;seed;reestimate;bootstrap_max_step;bootstrap_jobs;keep_bootstrap_samples;resample_score_distribution;...",FALSE
"cm3","R/api-cm2-cm3.R",412,TRUE,FALSE,FALSE,TRUE,FALSE,"fit;items;score_cuts;bootstrap;nsim;seed;reestimate;bootstrap_max_step;bootstrap_jobs;keep_bootstrap_samples;resample_score_distribution;...",FALSE
"new_cm2_cm3_result","R/api-cm2-cm3.R",456,FALSE,FALSE,FALSE,TRUE,TRUE,"fit;values;class;result;call",FALSE
"print.gRm_cm2","R/api-cm2-cm3.R",482,FALSE,TRUE,FALSE,TRUE,FALSE,"x;...",FALSE
"print.gRm_cm3","R/api-cm2-cm3.R",488,FALSE,TRUE,FALSE,TRUE,FALSE,"x;...",FALSE
"print_cm2_cm3_result","R/api-cm2-cm3.R",501,FALSE,FALSE,FALSE,TRUE,TRUE,"x;include_cm3",FALSE
"print_cm2_cm3_stat_block","R/api-cm2-cm3.R",541,FALSE,FALSE,FALSE,TRUE,TRUE,"label;row",FALSE
"print_cm2_cm3_bootstrap_status","R/api-cm2-cm3.R",571,FALSE,FALSE,FALSE,TRUE,TRUE,"bootstrap",FALSE
"cm2_cm3_summary_chisq","R/api-cm2-cm3.R",599,FALSE,FALSE,FALSE,TRUE,TRUE,"x",FALSE
"summary.gRm_cm2","R/api-cm2-cm3.R",609,FALSE,TRUE,FALSE,TRUE,FALSE,"object;...",FALSE
"summary.gRm_cm3","R/api-cm2-cm3.R",615,FALSE,TRUE,FALSE,TRUE,FALSE,"object;...",FALSE
"new_cm2_cm3_summary","R/api-cm2-cm3.R",628,FALSE,FALSE,FALSE,TRUE,TRUE,"object;include_cm3",FALSE
"cm2_cm3_selection_metadata","R/api-cm2-cm3.R",682,FALSE,FALSE,FALSE,TRUE,TRUE,"values",FALSE
